Year,Category,Value
2007,Remote Casino Betting And Bingo,1451
2007,Betting,435
2007,Society Lottery,1
2007,Adult Gaming Centre,41
2007,Bingo,132
2007,Casino,38
2007,External Lottery Manager,0
2007,Family Entertainment Centre,2
2008,Remote Casino Betting And Bingo,4995
2008,Betting,20424
2008,Society Lottery,343
2008,Adult Gaming Centre,549
2008,Bingo,612
2008,Casino,92
2008,External Lottery Manager,26
2008,Family Entertainment Centre,62
2009,Remote Casino Betting And Bingo,4667
2009,Betting,25858
2009,Society Lottery,333
2009,Adult Gaming Centre,752
2009,Bingo,599
2009,Casino,69
2009,External Lottery Manager,86
2009,Family Entertainment Centre,35
2010,Remote Casino Betting And Bingo,4195
2010,Betting,32320
2010,Society Lottery,327
2010,Adult Gaming Centre,591
2010,Bingo,1175
2010,Casino,106
2010,External Lottery Manager,97
2010,Family Entertainment Centre,97
2011,Remote Casino Betting And Bingo,4385
2011,Betting,28414
2011,Society Lottery,173
2011,Adult Gaming Centre,505
2011,Bingo,976
2011,Casino,94
2011,External Lottery Manager,46
2011,Family Entertainment Centre,78
2012,Remote Casino Betting And Bingo,6549
2012,Betting,29035
2012,Society Lottery,264
2012,Adult Gaming Centre,795
2012,Bingo,648
2012,Casino,52
2012,External Lottery Manager,98
2012,Family Entertainment Centre,65
2013,Remote Casino Betting And Bingo,6114
2013,Betting,25981
2013,Society Lottery,544
2013,Adult Gaming Centre,735
2013,Bingo,600
2013,Casino,91
2013,External Lottery Manager,533
2013,Family Entertainment Centre,35
2014,Remote Casino Betting And Bingo,4892
2014,Betting,35591
2014,Society Lottery,729
2014,Adult Gaming Centre,1010
2014,Bingo,551
2014,Casino,102
2014,External Lottery Manager,674
2014,Family Entertainment Centre,56
2015,Remote Casino Betting And Bingo,56988
2015,Betting,26938
2015,Society Lottery,1024
2015,Adult Gaming Centre,764
2015,Bingo,529
2015,Casino,120
2015,External Lottery Manager,744
2015,Family Entertainment Centre,28
2016,Remote Casino Betting And Bingo,86816
2016,Betting,37242
2016,Society Lottery,827
2016,Adult Gaming Centre,1322
2016,Bingo,473
2016,Casino,97
2016,External Lottery Manager,638
2015,Family Entertainment Centre,35
2017,Remote Casino Betting And Bingo,107435
2017,Betting,29854
2017,Society Lottery,2589
2017,Adult Gaming Centre,860
2017,Bingo,346
2017,Casino,105
2017,External Lottery Manager,198
2017,Family Entertainment Centre,18
