,competition,gsm_id,kickoffDate,kickoffTime,hometeam_team1,awayteam_team2,icon,chanceRating,team,type,time,player,location_x,location_y,bodyPart,shotQuality,defPressure,numDefPlayers,numAttPlayers,outcome,primaryPlayer,primaryType,primaryLocation_x,primaryLocation_y,secondaryPlayer,secondaryType
4501,EngPr,2463091,2018-03-12,20:00:00,Stoke City,Manchester City,goal,Great,Manchester City,Open Play,09:12,David Silva,-4.0,48.0,Left,3,2,2,0,-,R. Sterling,Cross Low,-92.0,52.0,Gabriel Jesus,Open Play Pass
4502,EngPr,2463091,2018-03-12,20:00:00,Stoke City,Manchester City,goal,Great,Manchester City,Open Play,49:38,David Silva,26.0,33.0,Left,3,3,2,0,-,Gabriel Jesus,Open Play Pass,-48.0,75.0,David Silva,Open Play Pass
33409,EngPr,2463091,2018-03-12,20:00:00,Stoke City,Manchester City,goodchance,goodchance,Manchester City,Open Play,81:03,David Silva,37.0,50.0,Right,2,3,4,0,Missed,K. De Bruyne,Open Play Pass,60.0,75.0,L. Sane,Open Play Pass
33410,EngPr,2463091,2018-03-12,20:00:00,Stoke City,Manchester City,fairlygoodchance,fairlygoodchance,Manchester City,Open Play,79:23,Gabriel Jesus,67.0,36.0,Right,2,1,4,1,Missed,K. De Bruyne,Cross High,-94.0,32.0,Fernandinho,Open Play Pass
33411,EngPr,2463091,2018-03-12,20:00:00,Stoke City,Manchester City,greatchance,greatchance,Manchester City,Dangerous Moment,77:48,R. Sterling,2.0,38.0,Right,0,3,1,0,Defended,-,-,-,-,-,-
33412,EngPr,2463091,2018-03-12,20:00:00,Stoke City,Manchester City,fairlygoodchance,fairlygoodchance,Manchester City,Open Play,73:44,L. Sane,35.0,58.0,Right,3,3,2,0,Saved,David Silva,Open Play Pass,106.0,141.0,O. Zinchenko,Open Play Pass
33413,EngPr,2463091,2018-03-12,20:00:00,Stoke City,Manchester City,verygoodchance,verygoodchance,Manchester City,Open Play,72:46,K. Walker,-45.0,35.0,Right,1,1,1,0,Missed,K. De Bruyne,Open Play Pass,-56.0,109.0,Gabriel Jesus,Open Play Pass
33414,EngPr,2463091,2018-03-12,20:00:00,Stoke City,Manchester City,poorchance,poorchance,Manchester City,Open Play,70:02,L. Sane,63.0,51.0,Left,2,4,4,0,Defended,N. Otamendi,Open Play Pass,22.0,101.0,-,-
33415,EngPr,2463091,2018-03-12,20:00:00,Stoke City,Manchester City,greatchance,greatchance,Stoke City,Open Play,63:03,B. Martins Indi,-11.0,18.0,Left,2,3,3,0,Missed,E. Choupo-Moting,Open Play Pass,15.0,13.0,G. Cameron,Open Play Pass
33416,EngPr,2463091,2018-03-12,20:00:00,Stoke City,Manchester City,fairlygoodchance,fairlygoodchance,Manchester City,Open Play,06:12,N. Otamendi,-34.0,56.0,Left,2,1,3,1,Defended,K. De Bruyne,Free Kick,29.0,102.0,-,-
33417,EngPr,2463091,2018-03-12,20:00:00,Stoke City,Manchester City,fairlygoodchance,fairlygoodchance,Stoke City,Open Play,20:36,Badou N'Diaye,-31.0,73.0,Right,2,1,3,1,Defended,X. Shaqiri,Open Play Pass,-87.0,17.0,M. Bauer,Open Play Pass
33423,EngPr,2463091,2018-03-12,20:00:00,Stoke City,Manchester City,fairlygoodchance,fairlygoodchance,Manchester City,Open Play,55:40,Fernandinho,42.0,10.0,Left,2,2,3,0,Missed,K. De Bruyne,Open Play Pass,86.0,73.0,Fernandinho,Open Play Pass
33425,EngPr,2463091,2018-03-12,20:00:00,Stoke City,Manchester City,poorchance,poorchance,Manchester City,Open Play,57:34,O. Zinchenko,8.0,107.0,Left,3,1,4,2,Saved,K. Walker,Open Play Pass,-69.0,98.0,K. De Bruyne,Open Play Pass
33419,EngPr,2463091,2018-03-12,20:00:00,Stoke City,Manchester City,verygoodchance,verygoodchance,Manchester City,Dangerous Moment,32:50,Gabriel Jesus,-9.0,24.0,Head,0,1,1,0,Missed,K. De Bruyne,Free Kick,-107.0,96.0,-,-
33420,EngPr,2463091,2018-03-12,20:00:00,Stoke City,Manchester City,fairlygoodchance,fairlygoodchance,Manchester City,Open Play,39:56,Fernandinho,4.0,91.0,Right,3,1,3,2,Saved,David Silva,Open Play Pass,58.0,48.0,L. Sane,Open Play Pass
33421,EngPr,2463091,2018-03-12,20:00:00,Stoke City,Manchester City,poorchance,poorchance,Manchester City,Open Play,40:30,K. De Bruyne,-68.0,56.0,Right,1,1,3,0,Missed,-,-,-,-,-,-
33422,EngPr,2463091,2018-03-12,20:00:00,Stoke City,Manchester City,goodchance,goodchance,Manchester City,Open Play,41:13,L. Sane,45.0,42.0,Left,2,2,2,0,Missed,K. De Bruyne,Cross High,-69.0,48.0,Gabriel Jesus,Open Play Pass
33424,EngPr,2463091,2018-03-12,20:00:00,Stoke City,Manchester City,greatchance,greatchance,Manchester City,Open Play,56:58,R. Sterling,-18.0,13.0,Left,3,4,2,0,Saved,David Silva,Open Play Pass,-36.0,86.0,L. Sane,Open Play Pass
33418,EngPr,2463091,2018-03-12,20:00:00,Stoke City,Manchester City,poorchance,poorchance,Manchester City,Open Play,25:50,Fernandinho,3.0,97.0,Left,2,1,3,2,Missed,-,-,-,-,-,-
33426,EngPr,2463091,2018-03-12,20:00:00,Stoke City,Manchester City,poorchance,poorchance,Manchester City,Open Play,57:48,R. Sterling,31.0,92.0,Right,2,1,4,1,Defended,L. Sane,Open Play Pass,-7.0,86.0,K. De Bruyne,Open Play Pass
33427,EngPr,2463091,2018-03-12,20:00:00,Stoke City,Manchester City,poorchance,poorchance,Manchester City,Open Play,58:29,L. Sane,-27.0,107.0,Left,2,1,5,3,Missed,R. Sterling,Open Play Pass,17.0,88.0,David Silva,Open Play Pass
4493,EngPr,2463085,2018-03-11,13:30:00,Arsenal,Watford,goal,Good,Arsenal,Open Play,07:10,S. Mustafi,-18.0,34.0,Head,3,3,2,0,-,M. Ozil,Free Kick,113.0,87.0,P. Aubameyang,Free Kick Won
4494,EngPr,2463085,2018-03-11,13:30:00,Arsenal,Watford,goal,Great,Arsenal,Open Play,58:40,P. Aubameyang,20.0,40.0,Left,3,4,1,0,-,H. Mkhitaryan,Open Play Pass,-17.0,106.0,P. Cech,Open Play Pass
4495,EngPr,2463085,2018-03-11,13:30:00,Arsenal,Watford,goal,Good,Arsenal,Open Play,76:30,H. Mkhitaryan,-6.0,57.0,Left,3,3,3,0,-,P. Aubameyang,Open Play Pass,14.0,55.0,M. Ozil,Cross Low
4496,EngPr,2463084,2018-03-11,16:00:00,AFC Bournemouth,Tottenham Hotspur,goal,Very Good,Tottenham Hotspur,Open Play,61:39,Heung-Min Son,-20.0,25.0,Left,2,1,2,0,-,D. Alli,Cross High,57.0,36.0,D. Rose,Open Play Pass
4497,EngPr,2463084,2018-03-11,16:00:00,AFC Bournemouth,Tottenham Hotspur,goal,Great,Tottenham Hotspur,Open Play,34:33,D. Alli,7.0,30.0,Left,3,3,1,0,-,S. Aurier,Cross Low,-114.0,65.0,Heung-Min Son,Open Play Pass
4498,EngPr,2463084,2018-03-11,16:00:00,AFC Bournemouth,Tottenham Hotspur,goal,Very Good,AFC Bournemouth,Open Play,06:18,J. Stanislas,40.0,34.0,Left,3,2,2,0,-,A. Smith,Cross High,-122.0,23.0,S. Francis,Open Play Pass
4499,EngPr,2463084,2018-03-11,16:00:00,AFC Bournemouth,Tottenham Hotspur,goal,Superb,Tottenham Hotspur,Open Play,86:26,Heung-Min Son,20.0,14.0,Left,3,2,0,0,-,C. Eriksen,Open Play Pass,4.0,287.0,C. Eriksen,Turnover
4500,EngPr,2463084,2018-03-11,16:00:00,AFC Bournemouth,Tottenham Hotspur,goal,Great,Tottenham Hotspur,Open Play,90:24,S. Aurier,32.0,12.0,Head,3,3,1,0,-,K. Trippier,Cross High,-80.0,33.0,M. Sissoko,Open Play Pass
