year,Won or not?,entity
1968,FALSE,Closely Observed Trains
1968,TRUE,The Graduate
1968,FALSE,Oliver!
1968,FALSE,2001: A Space Odyssey
1969,TRUE,Midnight Cowboy
1969,FALSE,Oh! What A Lovely War
1969,FALSE,Women in Love
1969,FALSE,Z
1970,FALSE,Kes
1970,FALSE,M*A*S*H
1970,FALSE,Ryan's Daughter
1970,TRUE,Butch Cassidy and The Sundance Kid
1971,FALSE,Death in Venice
1971,FALSE,The Go-Between
1971,TRUE,"Sunday, Bloody Sunday"
1971,FALSE,Taking Off
1972,TRUE,Cabaret
1972,FALSE,A Clockwork Orange
1972,FALSE,The French Connection
1972,FALSE,The Last Picture Show
1973,TRUE,Day For Night
1973,FALSE,The Day Of The Jackhal
1973,FALSE,The Discreet Charm of The Bourgeoisie
1973,FALSE,Don't Look Now
1974,FALSE,Chinatown
1974,TRUE,Lacombe Lucien
1974,FALSE,The Last Detail
1974,FALSE,Murder On The Orient Express
1975,TRUE,Alice Doesn't Live Here Anymore
1975,FALSE,Barry Lyndon
1975,FALSE,Dog Day Afternoon
1975,FALSE,Jaws
1976,FALSE,All the President's Men
1976,FALSE,Bugsy Malone
1976,TRUE,One Flew Over The Cuckoo's Nest
1976,FALSE,Taxi Driver
1977,TRUE,Annie Hall
1977,FALSE,A Bridge Too Far
1977,FALSE,Network
1977,FALSE,Rocky
1978,FALSE,Close Encounters of the Third Kind
1978,FALSE,Midnight Express
1978,FALSE,Star Wars
1978,TRUE,Julia
1979,FALSE,Apocalypse Now
1979,FALSE,The China Syndrome
1979,FALSE,The Deer Hunter
1979,TRUE,Manhattan
1980,FALSE,Being There
1980,FALSE,Kagemusha
1980,FALSE,Kramer Vs Kramer
1980,TRUE,The Elephant Man
1981,FALSE,Atlantic City
1981,FALSE,Gregory's Girl
1981,FALSE,Raiders of the Lost Ark
1981,FALSE,The French Lieutenant's Woman
1981,TRUE,Chariots of Fire
1982,FALSE,E.T.: The Extra-Terrestrial
1982,FALSE,Missing
1982,FALSE,On Golden Pond
1982,TRUE,Gandhi
1983,FALSE,Heat and Dust
1983,FALSE,Local Hero
1983,FALSE,Tootsie
1983,TRUE,Educating Rita
1984,FALSE,A Private Function
1984,FALSE,"Paris, Texas"
1984,FALSE,The Dresser
1984,TRUE,The Killing Fields
1985,FALSE,A Passage to India
1985,FALSE,Amadeus
1985,FALSE,Back To The Future
1985,FALSE,Witness
1985,TRUE,The Purple Rose of Cairo
1986,FALSE,Hannah And Her Sisters
1986,FALSE,Mona Lisa
1986,FALSE,The Mission
1986,TRUE,A Room With A View
1987,FALSE,Cry Freedom
1987,FALSE,Hope and Glory
1987,FALSE,Radio Days
1987,TRUE,Jean De Florette
1988,FALSE,A Fish Called Wanda
1988,FALSE,Babette's Feast
1988,FALSE,"Goodbye, Children"
1988,TRUE,The Last Emperor
1989,FALSE,My Left Foot
1989,FALSE,Shirley Valentine
1989,FALSE,When Harry Met Sally
1989,TRUE,Dead Poets Society
1990,FALSE,Crimes and Misdemeanors
1990,FALSE,Driving Miss Daisy
1990,FALSE,Pretty Woman
1990,TRUE,Goodfellas
1991,FALSE,Dances With Wolves
1991,FALSE,The Silence Of The Lambs
1991,FALSE,Thelma and Louise
1991,TRUE,The Commitments
1992,FALSE,Strictly Ballroom
1992,FALSE,The Crying Game
1992,FALSE,The Player
1992,FALSE,Unforgiven
1992,TRUE,Howards End
1993,FALSE,Shadowlands
1993,FALSE,The Piano
1993,FALSE,The Remains of the Day
1993,TRUE,Schindler's List
1994,FALSE,Forrest Gump
1994,FALSE,Pulp Fiction
1994,FALSE,Quiz Show
1994,TRUE,Four Weddings and a Funeral
1995,FALSE,Babe
1995,FALSE,The Madness of King George
1995,FALSE,The Usual Suspects
1995,TRUE,Sense and Sensibility
1996,FALSE,Fargo
1996,FALSE,Secrets & Lies
1996,FALSE,Shine
1996,TRUE,The English Patient
