entity,year,Won.or.not.,tconst,titleType,originalTitle,isAdult,endYear,runtimeMinutes,genres,averageRating,numVotes
12 Years A Slave,2013,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
A Beautiful Mind,2001,FALSE,tt0268978,movie,A Beautiful Mind,0,\N,135,"Biography,Drama",8.2,754927
Almost Famous,2000,FALSE,tt0181875,movie,Almost Famous,0,\N,122,"Adventure,Comedy,Drama",7.9,232129
Am_lie,2001,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
American Beauty,1999,TRUE,tt0169547,movie,American Beauty,0,\N,122,Drama,8.4,973073
American Gangster,2007,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
American Hustle,2013,FALSE,tt1800241,movie,American Hustle,0,\N,138,"Crime,Drama",7.2,412036
An Education,2009,FALSE,tt1174732,movie,An Education,0,\N,100,Drama,7.3,122062
Argo,2012,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arrival,2016,FALSE,tt2543164,movie,Arrival,0,\N,116,"Drama,Mystery,Sci-Fi",7.9,493906
Atonement,2007,TRUE,tt0783233,movie,Atonement,0,\N,123,"Drama,Mystery,Romance",7.8,224563
Avatar,2009,FALSE,tt0499549,movie,Avatar,0,\N,162,"Action,Adventure,Fantasy",7.8,1023040
Babel,2006,FALSE,tt0449467,movie,Babel,0,\N,143,Drama,7.5,270314
Big Fish,2003,FALSE,tt0319061,movie,Big Fish,0,\N,125,"Adventure,Drama,Fantasy",8,385508
Billy Elliot,2000,FALSE,tt0249462,movie,Billy Elliot,0,\N,110,"Drama,Music,Romance",7.7,112309
Birdman,2014,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Black Swan,2010,FALSE,tt0947798,movie,Black Swan,0,\N,108,"Drama,Thriller",8,637163
Boyhood,2014,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bridge Of Spies,2015,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brokeback Mountain,2005,TRUE,tt0388795,movie,Brokeback Mountain,0,\N,134,"Drama,Romance",7.7,294826
Call Me by Your Name,2017,FALSE,tt5726616,movie,Call Me by Your Name,0,\N,132,"Drama,Romance",7.9,142396
Capote,2005,FALSE,tt0379725,movie,Capote,0,\N,114,"Biography,Crime,Drama",7.4,115401
