entity,year,Won.or.not.,tconst,titleType,originalTitle,isAdult,endYear,runtimeMinutes,genres,averageRating,numVotes
2001: A Space Odyssey,1968,FALSE,tt0062622,movie,2001: A Space Odyssey,0,\N,149,"Adventure,Sci-Fi",8.3,529468
A Bridge Too Far,1977,FALSE,tt0075784,movie,A Bridge Too Far,0,\N,175,"Drama,History,War",7.4,46438
A Clockwork Orange,1972,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
A Fish Called Wanda,1988,FALSE,tt0095159,movie,A Fish Called Wanda,0,\N,108,"Comedy,Crime",7.6,120875
A Passage to India,1985,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
A Private Function,1984,FALSE,tt0089838,movie,A Private Function,0,\N,92,Comedy,6.6,2271
A Room With A View,1986,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alice Doesn't Live Here Anymore,1975,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
All the President's Men,1976,FALSE,tt0074119,movie,All the President's Men,0,\N,138,"Biography,Drama,History",8,89966
Amadeus,1985,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Annie Hall,1977,TRUE,tt0075686,movie,Annie Hall,0,\N,93,"Comedy,Romance",8,233381
Apocalypse Now,1979,FALSE,tt0078788,movie,Apocalypse Now,0,\N,147,"Drama,War",8.5,536653
Atlantic City,1981,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Babe,1995,FALSE,tt0112431,movie,Babe,0,\N,91,"Comedy,Drama,Family",6.8,107168
Babette's Feast,1988,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Back To The Future,1985,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Barry Lyndon,1975,FALSE,tt0072684,movie,Barry Lyndon,0,\N,185,"Adventure,Drama,History",8.1,129383
Being There,1980,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bugsy Malone,1976,FALSE,tt0074256,movie,Bugsy Malone,0,\N,93,"Comedy,Crime,Family",6.9,14251
Butch Cassidy and The Sundance Kid,1970,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cabaret,1972,TRUE,tt0068327,movie,Cabaret,0,\N,124,"Drama,Musical",7.8,42606
Chariots of Fire,1981,TRUE,tt0082158,movie,Chariots of Fire,0,\N,125,"Biography,Drama,Sport",7.2,48382
Chinatown,1974,FALSE,tt0071315,movie,Chinatown,0,\N,130,"Drama,Mystery,Thriller",8.2,261044
Close Encounters of the Third Kind,1978,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Closely Observed Trains,1968,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crimes and Misdemeanors,1990,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cry Freedom,1987,FALSE,tt0092804,movie,Cry Freedom,0,\N,157,"Biography,Drama,History",7.5,11395
Dances With Wolves,1991,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Day For Night,1973,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dead Poets Society,1989,TRUE,tt0097165,movie,Dead Poets Society,0,\N,128,"Comedy,Drama",8.1,358100
Death in Venice,1971,FALSE,tt0067445,movie,Morte a Venezia,0,\N,130,Drama,7.5,16169
Dog Day Afternoon,1975,FALSE,tt0072890,movie,Dog Day Afternoon,0,\N,125,"Biography,Crime,Drama",8,214982
Don't Look Now,1973,FALSE,tt0069995,movie,Don't Look Now,0,\N,110,"Drama,Horror,Thriller",7.3,41934
Driving Miss Daisy,1990,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
E.T.: The Extra-Terrestrial,1982,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Educating Rita,1983,TRUE,tt0085478,movie,Educating Rita,0,\N,110,"Comedy,Drama",7.2,11111
Fargo,1996,FALSE,tt0116282,movie,Fargo,0,\N,98,"Crime,Drama,Thriller",8.1,551120
Forrest Gump,1994,FALSE,tt0109830,movie,Forrest Gump,0,\N,142,"Drama,Romance",8.8,1566587
Four Weddings and a Funeral,1994,TRUE,tt0109831,movie,Four Weddings and a Funeral,0,\N,117,"Comedy,Drama,Romance",7.1,124017
Gandhi,1982,TRUE,tt0083987,movie,Gandhi,0,\N,191,"Biography,Drama,History",8.1,204214
"Goodbye, Children",1988,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Goodfellas,1990,TRUE,tt0099685,movie,Goodfellas,0,\N,146,"Crime,Drama",8.7,883761
Gregory's Girl,1981,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hannah And Her Sisters,1986,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heat and Dust,1983,FALSE,tt0084058,movie,Heat and Dust,0,\N,133,"Drama,Romance",6.7,1357
Hope and Glory,1987,FALSE,tt0093209,movie,Hope and Glory,0,\N,113,"Comedy,Drama,Romance",7.4,11173
Howards End,1992,TRUE,tt0104454,movie,Howards End,0,\N,142,"Drama,Romance",7.5,25343
Jaws,1975,FALSE,tt0073195,movie,Jaws,0,\N,124,"Adventure,Drama,Thriller",8,500097
Jean De Florette,1987,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Julia,1978,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kagemusha,1980,FALSE,tt0080979,movie,Kagemusha,0,\N,180,"Drama,History,War",8,28065
Kes,1970,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kramer Vs Kramer,1980,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lacombe Lucien,1974,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Local Hero,1983,FALSE,tt0085859,movie,Local Hero,0,\N,111,"Comedy,Drama",7.4,18361
M*A*S*H,1970,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Manhattan,1979,TRUE,tt0079522,movie,Manhattan,0,\N,96,"Comedy,Drama,Romance",8,120003
Midnight Cowboy,1969,TRUE,tt0064665,movie,Midnight Cowboy,0,\N,113,Drama,7.9,88613
Midnight Express,1978,FALSE,tt0077928,movie,Midnight Express,0,\N,121,"Biography,Crime,Drama",7.6,64191
Missing,1982,FALSE,tt0084335,movie,Missing,0,\N,122,"Biography,Drama,History",7.8,16331
Mona Lisa,1986,FALSE,tt0091538,movie,Mona Lisa,0,\N,104,"Crime,Drama,Romance",7.4,11551
Murder On The Orient Express,1974,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
My Left Foot,1989,FALSE,tt0097937,movie,My Left Foot: The Story of Christy Brown,0,\N,103,"Biography,Drama",7.9,59918
Network,1977,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oh! What A Lovely War,1969,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oliver!,1968,FALSE,tt0063385,movie,Oliver!,0,\N,153,"Drama,Family,Musical",7.5,30818
On Golden Pond,1982,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
One Flew Over The Cuckoo's Nest,1976,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Paris, Texas",1984,FALSE,tt0087884,movie,"Paris, Texas",0,\N,145,Drama,8.1,72060
Pretty Woman,1990,FALSE,tt0100405,movie,Pretty Woman,0,\N,119,"Comedy,Romance",7,254393
Pulp Fiction,1994,FALSE,tt0110912,movie,Pulp Fiction,0,\N,154,"Crime,Drama",8.9,1600545
Quiz Show,1994,FALSE,tt0110932,movie,Quiz Show,0,\N,133,"Biography,Drama,History",7.5,60005
Radio Days,1987,FALSE,tt0093818,movie,Radio Days,0,\N,88,Comedy,7.6,28346
Raiders of the Lost Ark,1981,FALSE,tt0082971,movie,Raiders of the Lost Ark,0,\N,115,"Action,Adventure",8.5,793912
Rocky,1977,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
